text,categorie
Antena Wi-Fi externă de pe clădirea C este dezaliniată,Retea
Stația de andocare de la sala de ședințe nu detectează monitorul extern,IT
Oglinda de la baia fetelor de la etajul 1 este crăpată,Administrativ
Cablul de fibră optică dintre clădirile A și B are atenuare mare,Retea
Boxele Bluetooth din sala de evenimente nu se împerechează,IT
Parcarea din fața facultății are gropi mari pe care trebuie reparate,Administrativ
Nu funcționează autentificarea 802.1X pe portul ethernet din birou,Retea
Alimentatorul de pe laptop-ul de prezentare s-a ars,IT
Rafturile din depozitul de materiale sunt instabile,Administrativ
Latența pe rețeaua internă depășește 200ms între etaje,Retea
Placa video de la calculatorul din sala de editare video dă artefacte,IT
Storurile automate din sala smart nu mai răspund la telecomandă,Administrativ
DNS-ul intern nu rezolvă numele serverelor din rețeaua locală,Retea
UPS-ul din camera serverelor bipăie continuu și arată eroare,IT
Scaunele din amfiteatrul A03 au șuruburile slăbite și se mișcă,Administrativ
Portul de uplink pe switch-ul principal se deconectează periodic,Retea
Plotter-ul din laboratorul de arhitectură are capul de printare înfundat,IT
Perdelele din sala de cursuri sunt rupte și nu se mai trag,Administrativ
Access point-ul de pe holul bibliotecii are semnal foarte slab,Retea
Panoul de comandă al sistemului de climatizare centrală nu răspunde,IT
Baia de la parter are o scurgere la toaletă care nu se oprește,Administrativ
NAS-ul din biroul profesoral nu mai este accesibil din rețea,Retea
Monitorul interactiv din sala de prezentări are pixeli morți,IT
Gardul din spatele campusului este deteriorat în zona parcării,Administrativ
